"SubjectID","ProblemID","StartOrder","FirstCorrect","EverCorrect","UsedHint","Attempts"
"S011","helloWorld",1793,FALSE,TRUE,FALSE,4
"S011","doubleX",1797,TRUE,TRUE,FALSE,1
"S011","raiseToPower",1798,TRUE,TRUE,FALSE,1
"S011","convertToDegrees",1799,TRUE,TRUE,FALSE,1
"S011","isPunctuation",1800,FALSE,FALSE,TRUE,3
"S011","findRoot",1806,FALSE,FALSE,FALSE,1
"S011","leftoverCandy",1807,TRUE,TRUE,FALSE,1
"S011","intToFloat",1808,TRUE,TRUE,FALSE,1
"S011","howManyEggCartons",1809,TRUE,TRUE,FALSE,1
"S011","kthDigit",1810,FALSE,FALSE,FALSE,3
"S011","nearestBusStop",1813,FALSE,FALSE,FALSE,2
"S011","backwardsCombine",1815,TRUE,TRUE,FALSE,1
"S011","firstAndLast",1816,FALSE,TRUE,TRUE,13
"S011","singlePigLatin",1831,FALSE,TRUE,FALSE,2
"S011","overNineThousand",1835,TRUE,TRUE,FALSE,1
"S011","hasTwoDigits",1836,FALSE,TRUE,FALSE,2
"S011","canDrinkAlcohol",1838,FALSE,TRUE,FALSE,3
"S011","isEvenPositiveInt",1841,TRUE,TRUE,FALSE,1
"S011","oneToN",1850,FALSE,FALSE,FALSE,11
"S014","helloWorld",1484,FALSE,TRUE,FALSE,2
"S014","doubleX",1486,TRUE,TRUE,FALSE,1
"S014","raiseToPower",1487,TRUE,TRUE,FALSE,1
"S014","convertToDegrees",1488,FALSE,TRUE,FALSE,2
"S014","isPunctuation",1490,FALSE,TRUE,TRUE,2
"S014","findRoot",1493,FALSE,FALSE,FALSE,3
"S014","intToFloat",2405,TRUE,TRUE,FALSE,1
"S014","leftoverCandy",2409,FALSE,TRUE,FALSE,2
"S014","howManyEggCartons",2412,FALSE,FALSE,TRUE,13
"S014","kthDigit",2437,FALSE,FALSE,TRUE,3
"S020","helloWorld",1144,FALSE,TRUE,FALSE,2
"S020","doubleX",1150,TRUE,TRUE,FALSE,1
"S020","raiseToPower",1151,TRUE,TRUE,FALSE,1
"S020","convertToDegrees",2162,TRUE,TRUE,FALSE,1
"S020","isPunctuation",2163,FALSE,FALSE,TRUE,18
"S020","findRoot",2199,TRUE,TRUE,FALSE,1
"S020","intToFloat",2200,TRUE,TRUE,FALSE,1
"S020","leftoverCandy",2201,TRUE,TRUE,FALSE,1
"S020","howManyEggCartons",2202,FALSE,FALSE,FALSE,3
"S020","kthDigit",2205,FALSE,FALSE,FALSE,5
